Shape,Ag(in^2),Ae(in^2),Yielding_ASD(kips),Yielding_LRFD(kips),Rupture_ASD(kips),Rupture_LRFD(kips)
W14x159,46.7,35,1400,2100,1140,1710
W36x160,47,35.3,1410,2120,1150,1720
W27x161,47.6,35.7,1430,2140,1160,1740
W24x162,47.8,35.9,1430,2150,1170,1750
W21x166,48.8,36.6,1460,2200,1190,1780
W40x167,49.3,37,1480,2220,1200,1800
W33x169,49.5,37.1,1480,2230,1210,1810
W36x170,50,37.5,1500,2250,1220,1830
W12x170,50,37.5,1500,2250,1220,1830
W30x173,50.9,38.2,1520,2290,1240,1860
W18x175,51.4,38.6,1540,2310,1250,1880
W24x176,51.7,38.8,1550,2330,1260,1890
W14x176,51.8,38.9,1550,2330,1260,1900
W27x178,52.5,39.4,1570,2360,1280,1920
W40x183,53.3,40,1600,2400,1300,1950
W36x182,53.6,40.2,1600,2410,1310,1960
W21x182,53.6,40.2,1600,2410,1310,1960
W12x190,56,42,1680,2520,1370,2050
W30x191,56.1,42.1,1680,2520,1370,2050
W18x192,56.2,42.2,1680,2530,1370,2060
W24x192,56.5,42.4,1690,2540,1380,2070
W14x193,56.8,42.6,1700,2560,1380,2080
W36x194,57,42.8,1710,2570,1390,2090
W27x194,57.1,42.8,1710,2570,1390,2090
W40x199,58.8,44.1,1760,2650,1430,2150
W33x201,59.1,44.3,1770,2660,1440,2160
W21x201,59.3,44.5,1780,2670,1450,2170
W24x207,60.7,45.5,1820,2730,1480,2220
W12x210,61.8,46.4,1850,2780,1510,2260
W36x210,61.9,46.4,1850,2790,1510,2260
W14x211,62,46.5,1860,2790,1510,2270
W40x211,62.1,46.6,1860,2790,1510,2270
W30x211,62.3,46.7,1870,2800,1520,2280
W18x211,62.3,46.7,1870,2800,1520,2280
W40x215,63.5,47.6,1900,2860,1550,2320
W27x217,63.9,47.9,1910,2880,1560,2340
W33x221,65.3,49,1960,2940,1590,2390
W24x229,67.2,50.4,2010,3020,1640,2460
W12x230h,67.7,50.8,2030,3050,1650,2480
W44x230,67.8,50.9,2030,3050,1650,2480
W36x232,68,51,2040,3060,1660,2490
W36x231,68.2,51.2,2040,3070,1660,2500
W14x233,68.5,51.4,2050,3080,1670,2510
W18x234h,68.6,51.5,2050,3090,1670,2510
W40x235,69.1,51.8,2070,3110,1680,2530
W30x235,69.3,52,2070,3120,1690,2540
W27x235,69.4,52.1,2080,3120,1690,2540
W33x241,71.1,53.3,2130,3200,1730,2600
W36x247,72.5,54.4,2170,3260,1770,2650
W40x249,73.5,55.1,2200,3310,1790,2690
W24x250,73.5,55.1,2200,3310,1790,2690
W12x252h,74.1,55.6,2220,3330,1810,2710
W36x256,75.3,56.5,2250,3390,1840,2750
W14x257,75.6,56.7,2260,3400,1840,2760
W18x258h,76,57,2280,3420,1850,2780
